timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1575884600542,1508,HTTP Request-12,200,OK,GetRequest 1-1,text,true,,1213,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=12&materialId=MAT-3541,1508,0,9
1575884602050,1935,HTTP Request-13,200,OK,GetRequest 1-1,text,true,,1059,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=13&materialId=MAT-3841,1935,0,0
1575884603985,1736,HTTP Request-14,200,OK,GetRequest 1-1,text,true,,1059,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=14&materialId=MAT-4141,1736,0,9
1575884605721,1852,HTTP Request-15,200,OK,GetRequest 1-1,text,true,,1059,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=15&materialId=MAT-4441,1852,0,0
1575884607573,1701,HTTP Request-16,200,OK,GetRequest 1-1,text,true,,1059,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=16&materialId=MAT-4741,1701,0,9
1575884609275,1848,HTTP Request-1,200,OK,GetRequest 1-1,text,true,,1210,825,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=1&materialId=MAT-242,1848,0,11
1575884611124,1692,HTTP Request-2,200,OK,GetRequest 1-1,text,true,,1210,825,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=2&materialId=MAT-542,1692,0,0
1575884612816,928,HTTP Request-3,200,OK,GetRequest 1-1,text,true,,1210,825,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=3&materialId=MAT-842,928,0,9
1575884613745,1934,HTTP Request-4,200,OK,GetRequest 1-1,text,false,"Value expected to match regexp 'true', but it did not match: 'initial'",1135,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=4&materialId=MAT-1142,1934,0,0
1575884615679,868,HTTP Request-5,200,OK,GetRequest 1-1,text,true,,1212,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=5&materialId=MAT-1442,868,0,9
1575884616548,1709,HTTP Request-6,200,OK,GetRequest 1-1,text,true,,1211,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=6&materialId=MAT-1742,1709,0,0
1575884618257,1869,HTTP Request-7,200,OK,GetRequest 1-1,text,true,,1211,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=7&materialId=MAT-2042,1869,0,10
1575884620127,1868,HTTP Request-8,200,OK,GetRequest 1-1,text,true,,1211,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=8&materialId=MAT-2342,1868,0,0
1575884621995,1959,HTTP Request-9,200,OK,GetRequest 1-1,text,true,,1211,826,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=9&materialId=MAT-2642,1959,0,14
1575884623954,1526,HTTP Request-10,200,OK,GetRequest 1-1,text,true,,1211,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=10&materialId=MAT-2942,1526,0,0
1575884625480,1642,HTTP Request-11,200,OK,GetRequest 1-1,text,true,,1211,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=11&materialId=MAT-3242,1642,0,11
1575884627123,1964,HTTP Request-12,200,OK,GetRequest 1-1,text,true,,1211,827,1,1,https://ulbw5caxdh.execute-api.eu-west-1.amazonaws.com/flag/sch-imp/schedule/item?requestId=12&materialId=MAT-3542,1964,0,0
